Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	29	MD5 match	Size match
1	38	MD5 match	Size match
	52	MD5 match	Size match
2	41	MD5 match	Size match
	43	MD5 match	Size match
3	39	MD5 match	Size match
	42	MD5 match	Size match
4	40	MD5 match	Size match
	42	MD5 match	Size match
5	37	MD5 match	Size match
	42	MD5 match	Size match
