Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	74	MD5 match	Size match
1	52	MD5 match	Size match
	89	MD5 match	Size match
2	64	MD5 match	Size match
	89	MD5 match	Size match
3	56	MD5 match	Size match
	130	MD5 match	Size match
4	58	MD5 match	Size match
	77	MD5 match	Size match
5	54	MD5 match	Size match
	68	MD5 match	Size match
