Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	10	MD5 match	Size match
1	15	MD5 match	Size match
	14	MD5 match	Size match
2	14	MD5 match	Size match
	13	MD5 match	Size match
3	15	MD5 match	Size match
	15	MD5 match	Size match
4	14	MD5 match	Size match
	14	MD5 match	Size match
5	14	MD5 match	Size match
	15	MD5 match	Size match
