Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	136	MD5 match	Size match
1	228	MD5 match	Size match
	270	MD5 match	Size match
2	234	MD5 match	Size match
	484	MD5 match	Size match
3	310	MD5 match	Size match
	354	MD5 match	Size match
4	161	MD5 match	Size match
	444	MD5 match	Size match
5	177	MD5 match	Size match
	235	MD5 match	Size match
