Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	91	MD5 match	Size match
1	147	MD5 match	Size match
	148	MD5 match	Size match
2	139	MD5 match	Size match
	148	MD5 match	Size match
3	154	MD5 match	Size match
	141	MD5 match	Size match
4	141	MD5 match	Size match
	141	MD5 match	Size match
5	146	MD5 match	Size match
	145	MD5 match	Size match
