Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	90	MD5 match	Size match
1	210	MD5 match	Size match
	187	MD5 match	Size match
2	243	MD5 match	Size match
	193	MD5 match	Size match
3	181	MD5 match	Size match
	179	MD5 match	Size match
4	202	MD5 match	Size match
	172	MD5 match	Size match
5	210	MD5 match	Size match
	169	MD5 match	Size match
