Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	15	MD5 match	Size match
1	23	MD5 match	Size match
	19	MD5 match	Size match
2	19	MD5 match	Size match
	20	MD5 match	Size match
3	19	MD5 match	Size match
	27	MD5 match	Size match
4	19	MD5 match	Size match
	22	MD5 match	Size match
5	19	MD5 match	Size match
	20	MD5 match	Size match
