Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	15	MD5 match	Size match
1	22	MD5 match	Size match
	21	MD5 match	Size match
2	21	MD5 match	Size match
	23	MD5 match	Size match
3	23	MD5 match	Size match
	22	MD5 match	Size match
4	31	MD5 match	Size match
	23	MD5 match	Size match
5	35	MD5 match	Size match
	25	MD5 match	Size match
