Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	52	MD5 match	Size match
1	90	MD5 match	Size match
	93	MD5 match	Size match
2	90	MD5 match	Size match
	89	MD5 match	Size match
3	85	MD5 match	Size match
	87	MD5 match	Size match
4	89	MD5 match	Size match
	91	MD5 match	Size match
5	89	MD5 match	Size match
	87	MD5 match	Size match
