Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	15	MD5 match	Size match
1	28	MD5 match	Size match
	28	MD5 match	Size match
2	28	MD5 match	Size match
	27	MD5 match	Size match
3	27	MD5 match	Size match
	29	MD5 match	Size match
4	27	MD5 match	Size match
	30	MD5 match	Size match
5	27	MD5 match	Size match
	29	MD5 match	Size match
