Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	13	MD5 doesn't match	Size match
1	3	MD5 match	Size match
	3	MD5 match	Size match
2	3	MD5 match	Size match
	4	MD5 match	Size match
3	3	MD5 match	Size match
	3	MD5 match	Size match
4	3	MD5 match	Size match
	3	MD5 match	Size match
5	3	MD5 match	Size match
	3	MD5 match	Size match
