Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	325	MD5 match	Size match
1	476	MD5 match	Size match
	525	MD5 match	Size match
2	470	MD5 match	Size match
	526	MD5 match	Size match
3	422	MD5 match	Size match
	491	MD5 match	Size match
4	426	MD5 match	Size match
	584	MD5 match	Size match
5	512	MD5 match	Size match
	529	MD5 match	Size match
