Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	8	MD5 match	Size match
1	13	MD5 match	Size match
	10	MD5 match	Size match
2	12	MD5 match	Size match
	10	MD5 match	Size match
3	10	MD5 match	Size match
	9	MD5 match	Size match
4	9	MD5 match	Size match
	10	MD5 match	Size match
5	23	MD5 match	Size match
	10	MD5 match	Size match
