Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	80	MD5 match	Size match
1	79	MD5 match	Size match
	89	MD5 match	Size match
2	75	MD5 match	Size match
	102	MD5 match	Size match
3	71	MD5 match	Size match
	93	MD5 match	Size match
4	72	MD5 match	Size match
	94	MD5 match	Size match
5	74	MD5 match	Size match
	93	MD5 match	Size match
