Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	19	MD5 match	Size match
1	29	MD5 match	Size match
	29	MD5 match	Size match
2	31	MD5 match	Size match
	29	MD5 match	Size match
3	29	MD5 match	Size match
	29	MD5 match	Size match
4	31	MD5 match	Size match
	28	MD5 match	Size match
5	31	MD5 match	Size match
	30	MD5 match	Size match
