Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	19	MD5 match	Size match
1	2	MD5 doesn't match	Size doesn't match
	2	MD5 doesn't match	Size doesn't match
2	2	MD5 doesn't match	Size doesn't match
	2	MD5 doesn't match	Size doesn't match
3	2	MD5 doesn't match	Size doesn't match
	2	MD5 doesn't match	Size doesn't match
4	3	MD5 doesn't match	Size doesn't match
	2	MD5 doesn't match	Size doesn't match
5	2	MD5 doesn't match	Size doesn't match
	2	MD5 doesn't match	Size doesn't match
