Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	94	MD5 match	Size match
1	185	MD5 match	Size match
	198	MD5 match	Size match
2	206	MD5 match	Size match
	193	MD5 match	Size match
3	154	MD5 match	Size match
	177	MD5 match	Size match
4	182	MD5 match	Size match
	152	MD5 match	Size match
5	173	MD5 match	Size match
	163	MD5 match	Size match
