Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	99	MD5 match	Size match
1	227	MD5 match	Size match
	213	MD5 match	Size match
2	230	MD5 match	Size match
	227	MD5 match	Size match
3	212	MD5 match	Size match
	217	MD5 match	Size match
4	238	MD5 match	Size match
	243	MD5 match	Size match
5	213	MD5 match	Size match
	276	MD5 match	Size match
