Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	41	MD5 match	Size match
1	41	MD5 match	Size match
	51	MD5 match	Size match
2	39	MD5 match	Size match
	54	MD5 match	Size match
3	36	MD5 match	Size match
	51	MD5 match	Size match
4	41	MD5 match	Size match
	54	MD5 match	Size match
5	37	MD5 match	Size match
	84	MD5 match	Size match
