Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	73	MD5 match	Size match
1	65	MD5 match	Size match
	87	MD5 match	Size match
2	67	MD5 match	Size match
	84	MD5 match	Size match
3	63	MD5 match	Size match
	90	MD5 match	Size match
4	60	MD5 match	Size match
	94	MD5 match	Size match
5	61	MD5 match	Size match
	78	MD5 match	Size match
