Loop	Elapsed time(seconds)	MD5 comparison result	Size comparison result
	12	MD5 match	Size match
1	16	MD5 match	Size match
	13	MD5 match	Size match
2	13	MD5 match	Size match
	13	MD5 match	Size match
3	14	MD5 match	Size match
	14	MD5 match	Size match
4	16	MD5 match	Size match
	13	MD5 match	Size match
5	17	MD5 match	Size match
	13	MD5 match	Size match
